item	manuscript_location	claim_or_metric	result_file	result_sha256	analysis_script	analysis_sha256	figure_script	figure_sha256	data_file	data_sha256	archive_release
Figure 1	Main Figure 1	SGCB workflow and channel hierarchy	reproducibility/outputs/Fig1_overview.png	84a4bf12d98653311891124088fd569d983e25517f2fdd0ea50667a6ea1fd1d1							SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Figure 2	Main Figure 2	Calibration and null-FDR behavior	reproducibility/outputs/Fig2_calibration.png	85b721c162e4481ba6ac6aba58c2d6e8b502107263a5c8dea3be73c98a89fdac	reproducibility/scripts/analysis/01_bulk_rnaseq/01_runner_sgcb_bulk.R; reproducibility/scripts/analysis/01_bulk_rnaseq/02_runner_other_bulk.R; reproducibility/scripts/analysis/04_multimodal_aggregation/03_extract_null_pvalues.R	ed93d32e6a98487c7e63cee236ba3f50d576fa1e793bbcdf5bed58881547fb02; c05c993e927fabd660ec2b7f54a75a51715683f83e49485b2bd423bd724f2077; 02fc84432dedea5c6c8535e2e2167ae6eb8006f57d9fc0c28bb85d5a0ec737b9	reproducibility/scripts/figures/37b_v5_publication_figures.R	b045c1988b8c553c7976dd0a96fb4a28515a3e56b4eb591f788fd5f8b16c1663	https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/bulk_null_fdr.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/bulk_null_pvalues.csv.gz	3353d91c93fa9c623030cf61b75a7daa9b4ba5b842e6babaee966763173db201; 5b55bfcba364178246e5fdc81d6d063ace1f1aa70600a6d3d6d232bc65c91fa7	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Figure 3	Main Figure 3	Cross-modality differential-analysis comparison	reproducibility/outputs/Fig3_multiomics.png	bead25645428b4e69b502be3a623c7dafb67cd008b4e84250469c9aad3e22598	reproducibility/scripts/analysis/02_scrna_pseudobulk/02_runner_sgcb_scrna.R; reproducibility/scripts/analysis/02_scrna_pseudobulk/03_runner_other_scrna.R; reproducibility/scripts/analysis/03_proteomics/07_runner_sgcb_prot.R; reproducibility/scripts/analysis/03_proteomics/08_runner_other_prot.R; reproducibility/scripts/analysis/04_multimodal_aggregation/02_aggregate_paper_tables.R	efa8ae721226b0534cb9c41a12530c312ba9e77676524a01bb66a99711e419e9; 25627c2d2c126addb3a4a9299d27596883b399029fea9a2782be51c506b5ca45; 6c16756c4ca9ae007dc23ba0bf4ef59e0d4dd8d4c6659ba11f31da7b9dd6a871; 211eed22a38982320b44509876ba8ab9b7901107640dbbf397ca23a5fb1a3dd6; 488a05d38ad97b091f36d4ca196c9a6ef41211387d1bc9b595fffecec5c1ca8c	reproducibility/scripts/figures/37b_v5_publication_figures.R	b045c1988b8c553c7976dd0a96fb4a28515a3e56b4eb591f788fd5f8b16c1663	https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/pseudobulk_de.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/proteomics_de.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/pseudobulk_null.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/proteomics_null.csv	c65537cf7ed2a9d15bd671e0666d222ef733792c5f4193bc61fa6205794868d6; 5d236510068154f4c398d9fbc04352aab1690c18e7306eb099f27d40b5f52d9c; 8a8a7d18058d55f5c7e5aaf3f660588c4544886da0bb5ad1fc2cfbca7e902c2c; aad7d07caa67eae12ee2b26268b21957c61ab6c1a6695a007c887aaca8e776e7	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Figure 4	Main Figure 4	TCGA-KIRC channel signatures and adjusted survival	reproducibility/outputs/Fig4_tcga_kirc.png	9d4fee05848b21714e7c35b26f721c92d3b163018be861aa24ac38b58a67e8dc	reproducibility/scripts/analysis/05_tcga_kirc/01_compute_channels_and_go.R; reproducibility/scripts/analysis/05_tcga_kirc/02_dv_survival_analysis.R; reproducibility/scripts/analysis/05_tcga_kirc/03_clinical_extended_analysis.R	2b940f3212bf276a191126b6ec8a9fbdfc93adafdea0d04eca669c3e7d323df7; dccc3b3393b847af6b1ec6e96f644528a57e77652242c74614d91f11acab3ebe; fd830d97970632ab93bc424aa0e8040fe9f743d599df566139ca9dec5c15428d	reproducibility/scripts/figures/37c_v5_publication_figures.R; reproducibility/scripts/figures/37d_v5_redesign.R	bb2bfca469e4d624db5c4cb410a2ead5cb379929c2d2e342eea24ee119e79512; d440ab780f334379970c6b60fcccfa23c8e591dfe14f00361167f217de5a88f6	https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/tcga_kirc_sgcb_channels.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/methodology_test_results/tcga_kirc_clinical_extended_summary.csv	66cc5eccfddb75d5688598683d689bcc7fe1cfae4098999c0a26d57bc8d0da52; c9334fd09c662e2ccc296fa92988fa4ad737e488f9f2eb1d36287048246cd25f	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Table I	Main Table I	Benchmark overview across datasets and modalities	reproducibility/outputs/Table_I_benchmark_overview.csv	3840bb010f009e4298bc2df715118b6c67f348381c2fac3840982bcfde76c1f4	reproducibility/scripts/analysis/04_multimodal_aggregation/02_aggregate_paper_tables.R	488a05d38ad97b091f36d4ca196c9a6ef41211387d1bc9b595fffecec5c1ca8c			https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/paper_data_manifest.csv	b1b9f6fb5c4774bc010eb90bda91465f5b2abb841cfb99df97288fbb717656f2	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Table II	Main Table II	SEQC/MAQC-III external validation	reproducibility/outputs/Table_II_seqc.csv	eb98221f08d39963e41586221b7ba08f2c7e675ef78bd2e15880a2223777bde2	reproducibility/scripts/analysis/01_bulk_rnaseq/01_runner_sgcb_bulk.R; reproducibility/scripts/analysis/01_bulk_rnaseq/02_runner_other_bulk.R	ed93d32e6a98487c7e63cee236ba3f50d576fa1e793bbcdf5bed58881547fb02; c05c993e927fabd660ec2b7f54a75a51715683f83e49485b2bd423bd724f2077			https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/bulk_seqc.csv	eb98221f08d39963e41586221b7ba08f2c7e675ef78bd2e15880a2223777bde2	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Table III	Main Table III	GTEx brain DV yield and ten-split null FDR; SGCB detections use n_dv_fdr_call and comparator detections use n_sig_fdr5	reproducibility/outputs/Table_III_dv_sgcb.csv; reproducibility/outputs/Table_III_dv_baselines.csv; reproducibility/outputs/Table_III_dv_null_fdr.csv	e8b69e8570ab35136eebf665abdbe37ad002b6f12c781e6a826870249e91a6cf; 5dcd5bb745462b33c85ee35b03a3049ac2518cb9c7796954d4361e0e0c625e1d; 6f35020d95fd365b94e0ed1a21e457451087a6135967cc90748aab79578c35c4	reproducibility/scripts/analysis/01_bulk_rnaseq/03_runner_bulk_benchmark.R; reproducibility/scripts/analysis/04_multimodal_aggregation/02_aggregate_paper_tables.R	f2c0063f5af08098460d260771943f2cdbcc2b52f94da4384c4c87a94cf5c4c3; 488a05d38ad97b091f36d4ca196c9a6ef41211387d1bc9b595fffecec5c1ca8c			https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/bulk_dv_sgcb.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/bulk_dv_baselines.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__1.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__2.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__3.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__4.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__5.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__6.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__7.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__8.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__9.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_sgcb_results/null_fdr__10.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__1.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__2.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__3.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__4.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__5.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__6.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__7.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__8.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__9.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_clrDV__null_fdr__10.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__1.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__2.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__3.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__4.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__5.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__6.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__7.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__8.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__9.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_MDSeq__null_fdr__10.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__1.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__2.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__3.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__4.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__5.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__6.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__7.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__8.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__9.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_diffVar__null_fdr__10.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__1.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__2.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__3.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__4.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__5.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__6.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__7.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__8.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__9.csv; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/full_bulk_other_method_results/dv_GAMLSS__null_fdr__10.csv	e8b69e8570ab35136eebf665abdbe37ad002b6f12c781e6a826870249e91a6cf; 5dcd5bb745462b33c85ee35b03a3049ac2518cb9c7796954d4361e0e0c625e1d; 6f35020d95fd365b94e0ed1a21e457451087a6135967cc90748aab79578c35c4	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Table IV	Main Table IV	Runtime comparison	reproducibility/outputs/Table_IV_runtime.csv	0e42d0140caaa53887757002f1f43266ae5f02d3db2c9352d0dc36357ca0d881							SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Figure S1	Supplementary Figure S1	TCGA-KIRC channel decomposition	reproducibility/outputs/FigS1_tcga_kirc_manhattan.pdf	2ddff91c8012b3c7c5a8e8b4f920a749e9f018100b64c234d25a9995818fe6d2	reproducibility/scripts/analysis/05_tcga_kirc/01_compute_channels_and_go.R	2b940f3212bf276a191126b6ec8a9fbdfc93adafdea0d04eca669c3e7d323df7	reproducibility/scripts/figures/37c_v5_publication_figures.R	bb2bfca469e4d624db5c4cb410a2ead5cb379929c2d2e342eea24ee119e79512	https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/tcga_kirc_sgcb_channels.csv	66cc5eccfddb75d5688598683d689bcc7fe1cfae4098999c0a26d57bc8d0da52	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
Figure S2	Supplementary Figure S2	TCGA-KIRC representative channel profiles	reproducibility/outputs/FigS2_tcga_kirc_gene_boxplots.pdf	8047b396c034a97b2925a5fdfdfeb4dae24eb94ba8aa9847e0db9ddd37a4c2d8	reproducibility/scripts/analysis/05_tcga_kirc/01_compute_channels_and_go.R	2b940f3212bf276a191126b6ec8a9fbdfc93adafdea0d04eca669c3e7d323df7	reproducibility/scripts/figures/37c_v5_publication_figures.R	bb2bfca469e4d624db5c4cb410a2ead5cb379929c2d2e342eea24ee119e79512	https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip::code_data_release/data/paper_data_v2/tcga_kirc_sgcb_channels.csv	66cc5eccfddb75d5688598683d689bcc7fe1cfae4098999c0a26d57bc8d0da52	SGCB v0.4.1; https://github.com/aeqby770/SGCB/releases/download/v0.4.1/SGCB_code_data_release_0.4.1.zip
