method,n_features,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_spike,TP_fdr5,FP_fdr5,precision_fdr5,recall_fdr5,F1_fdr5,n_true_de,n_true_dv,sim_TP_de,sim_FP_de,sim_prec_de,sim_recall_de,sim_F1_de,sim_TP_dv,sim_FP_dv,sim_prec_dv,sim_recall_dv,sim_F1_dv,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_call,n_dv_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,post_de_threshold,post_dv_threshold,post_de_realized_fdr,post_dv_realized_fdr,precision,recall,F1,sim_TP_de_post08,sim_FP_de_post08,sim_prec_de_post08,sim_recall_de_post08,sim_F1_de_post08
SGCB,1253,0.5,0,0,0,0,0,0.537395650990166,0.522094594209274,0.0462889066241022,0.17435182683859,cptac,FALSE,,,,,,,,,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,5022,1.37,1247,1966,2387,1645,1350,0.0606981591470479,0.204415817381674,0.47889287136599,0.491309789748182,ecoli_lfq,FALSE,,,,,,,,,1564,1321,645,0.6719,0.8446,0.7484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,1470,0.61,46,71,94,43,38,0.299051231059515,0.361662191049999,0.187074829931973,0.0882163015162033,sgsds_ratio2.5,FALSE,,,,,,,,,42,38,33,0.5352,0.9048,0.6726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,1489,0.53,30,43,56,32,14,0.380269166217825,0.419287408506665,0.124244459368704,0.0699779355502546,sgsds_ratio2,FALSE,,,,,,,,,34,32,11,0.7442,0.9412,0.8312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,1277,0.44,0,0,0,0,0,0.516973308276329,0.520631484910523,0.0360219263899765,0.204583846976824,sim_proteomics,FALSE,,,,,,,,,192,0,0,0,0,0,192,192,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,9580,3.51,0,0,0,0,0,0.661210352350297,0.622069293356023,0.012839248434238,0.0345303335593632,tmt_mir,FALSE,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEqMS,1253,3.37,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
DEqMS,800,1.64,,7,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6364,0.7778,,,,,
DEqMS,5022,2.2,,3156,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1390,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4404,0.8887,0.589,,,,,
