method,n_genes,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,dv_p_lt_0.05,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_true_de,n_true_dv,TP_de_fdr5,FP_de_fdr5,prec_de,recall_de,F1_de,TP_dv_fdr5,FP_dv_fdr5,prec_dv,recall_dv,F1_dv,n_post_de_0.5,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_0.8,n_post_dvonly_0.8,n_post_dv_call,n_dv_fdr_call,n_post_dg_0.8,n_post_dgonly_0.8,n_post_dg_call,n_dg_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,prior_dg_used,post_de_threshold,post_dv_threshold,post_dg_threshold,post_de_realized_fdr,post_dv_realized_fdr,post_dg_realized_fdr,n_dv_model_raw_fdr5,n_dv_model_fdr5,n_dv_bf_fdr5,n_dv_mix_fdr5,TP_de_post08,FP_de_post08,prec_de_post08,recall_de_post08,F1_de_post08
BPSC,5303,633.51,,0,0,,,0.812660687683523,,,0.246131081753266,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPSC,35635,2542.05,,386,498,,,0.973621270763671,,,0.0,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPSC,11207,2136.1,,0,0,,,0.603065534050829,,,0.0,muscat_sim,False,,,,,,,,,,1681.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPSC,26179,3187.3,,0,0,,,0.451759842018845,,,0.0,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPSC,39851,2992.78,,31,6162,,,0.305435730864111,,,0.0,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPSC,41861,4182.35,,1936,3129,,,0.306829229181383,,,0.0,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESeq2,5303,78.91,,1,1,,,0.624340196226163,,,0.337996500790937,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESeq2,35635,31.09,,3317,3961,,,0.945988202855389,,,0.0440353827242416,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESeq2,11207,16.36,,28,46,,,0.480872066253472,,,0.193760576939327,muscat_sim,False,,,,,,,,,,1681.0,,1.0,27.0,0.0357,0.0006,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESeq2,26179,50.94,,18,30,,,0.630080459250339,,,0.361973542144405,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
